Land Use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
History Museum – OfficesCustomer,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.0,0.0,0.0,0.0
History Museum – OfficesEmployee,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
History Museum – StorageCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
History Museum – StorageEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0,
OTP – Large Stage AudienceCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
OTP – Large Stage AudienceEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,
OTP – OrchestraCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05
OTP – OrchestraEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,
OTP – PerformersCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05
OTP – PerformersEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,
OTP – Small Stage AudienceCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
OTP – Small Stage AudienceEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,
OTP – StaffCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05
OTP – StaffEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,
OTP – StorageCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTP – StorageEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0,0.0
PAC – AudienceCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,0.9,0.8,0.6,0.4,0.2,0.1,0.05,0.0
PAC – AudienceEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0
PAC – EmployeesCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.8,0.7,0.6,0.4,0.2,0.1,0.05,0.0
PAC – EmployeesEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0
PAC – PerformersCustomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.8,0.7,0.6,0.4,0.2,0.1,0.05,0.0
PAC – PerformersEmployee,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.0
ResidencesCustomer,0.5,0.4,0.3,0.2,0.1,0.1,0.2,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.3,0.2,0.1,0.1,0.05
ResidencesEmployee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
